level	edge	cc	fps	comp_assign	comp_weights	deadend
16	NodeEdge(10 -> 14)	1	Set(["ForbiddenPair(8 -> 11)", "ForbiddenPair(11 -> 13)"])	[0, 0, 0, 0, 0, 0, 0, 8, 0, 13, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 1, 3, 1, 1, 1]	false
16	NodeEdge(10 -> 14)	0	Set(["ForbiddenPair(8 -> 11)", "ForbiddenPair(10 -> 13)", "ForbiddenPair(10 -> 11)"])	[0, 0, 0, 0, 0, 0, 0, 8, 0, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 4, 1, 3, 1, 1, 1]	false
12	NodeEdge(4 -> 8)	0	Set(["ForbiddenPair(10 -> 13)", "ForbiddenPair(4 -> 13)", "ForbiddenPair(7 -> 13)", "ForbiddenPair(7 -> 10)", "ForbiddenPair(4 -> 7)"])	[0, 0, 0, 4, 0, 0, 7, 8, 0, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 4, 0, 0, 2, 1, 0, 1, 1, 1, 3, 1, 1, 1]	false
16	NodeEdge(10 -> 14)	0	Set(["ForbiddenPair(10 -> 13)", "ForbiddenPair(8 -> 10)", "ForbiddenPair(10 -> 11)"])	[0, 0, 0, 0, 0, 0, 0, 8, 0, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 1, 4, 1, 1, 1]	false
17	NodeEdge(13 -> 14)	1	Set(["ForbiddenPair(8 -> 11)", "ForbiddenPair(11 -> 14)", "ForbiddenPair(13 -> 14)"])	[0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 4, 1, 1]	true
15	NodeEdge(10 -> 11)	1	Set(["ForbiddenPair(8 -> 10)", "ForbiddenPair(10 -> 11)"])	[0, 0, 0, 0, 0, 0, 0, 8, 0, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 1, 1, 1, 1, 1]	true
22	NodeEdge(12 -> 16)	2	Set(["ForbiddenPair(12 -> 15)"])	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 15, 16]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1]	false
11	NodeEdge(9 -> 13)	0	Set(["ForbiddenPair(4 -> 10)", "ForbiddenPair(7 -> 10)", "ForbiddenPair(4 -> 7)"])	[0, 0, 0, 4, 0, 0, 7, 8, 10, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 3, 0, 0, 2, 1, 0, 4, 1, 1, 1, 1, 1, 1]	false
13	NodeEdge(7 -> 8)	0	Set(["ForbiddenPair(7 -> 8)", "ForbiddenPair(10 -> 13)", "ForbiddenPair(7 -> 10)"])	[0, 0, 0, 0, 0, 0, 7, 8, 0, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 0, 0, 0, 0, 3, 2, 0, 4, 1, 1, 2, 1, 1, 1]	false
7	NodeEdge(3 -> 7)	0	Set(["ForbiddenPair(3 -> 9)", "ForbiddenPair(6 -> 9)", "ForbiddenPair(3 -> 4)", "ForbiddenPair(3 -> 6)"])	[0, 0, 3, 4, 0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	[0, 0, 2, 1, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]	false
